Game ID,Game Date,Home Team,Away Team
22400174,2024-11-06,Los Angeles Lakers,Los Angeles Lakers
22400170,2024-11-06,Orlando Magic,Orlando Magic
22400178,2024-11-06,Miami Heat,Miami Heat
22400173,2024-11-06,San Antonio Spurs,San Antonio Spurs
22400172,2024-11-06,Golden State Warriors,Golden State Warriors
22400169,2024-11-06,Detroit Pistons,Detroit Pistons
22400175,2024-11-06,Cleveland Cavaliers,Cleveland Cavaliers
22400176,2024-11-06,Chicago Bulls,Chicago Bulls
22400179,2024-11-06,Philadelphia 76ers,Philadelphia 76ers
22400171,2024-11-06,New York Knicks,New York Knicks
22400177,2024-11-06,Oklahoma City Thunder,Oklahoma City Thunder
22400180,2024-11-06,Toronto Raptors,Toronto Raptors
22400157,2024-11-04,Boston Celtics,Boston Celtics
22400163,2024-11-04,Orlando Magic,Orlando Magic
22400159,2024-11-04,Sacramento Kings,Sacramento Kings
22400156,2024-11-04,Los Angeles Lakers,Los Angeles Lakers
22400164,2024-11-04,Portland Trail Blazers,Portland Trail Blazers
22400165,2024-11-04,Indiana Pacers,Indiana Pacers
22400158,2024-11-04,Memphis Grizzlies,Memphis Grizzlies
22400161,2024-11-04,New York Knicks,New York Knicks
22400160,2024-11-04,Utah Jazz,Utah Jazz
22400166,2024-11-04,Toronto Raptors,Toronto Raptors
22400162,2024-11-04,Charlotte Hornets,Charlotte Hornets
22400155,2024-11-04,Golden State Warriors,Golden State Warriors
22400154,2024-11-04,Milwaukee Bucks,Milwaukee Bucks
22400167,2024-11-04,Philadelphia 76ers,Philadelphia 76ers
22400168,2024-11-04,San Antonio Spurs,San Antonio Spurs
22400151,2024-11-03,Detroit Pistons,Detroit Pistons
22400152,2024-11-03,Atlanta Hawks,Atlanta Hawks
22400153,2024-11-03,Orlando Magic,Orlando Magic
22400142,2024-11-02,Memphis Grizzlies,Memphis Grizzlies
22400147,2024-11-02,Miami Heat,Miami Heat
22400148,2024-11-02,Utah Jazz,Utah Jazz
22400146,2024-11-02,Minnesota Timberwolves,Minnesota Timberwolves
22400144,2024-11-02,Golden State Warriors,Golden State Warriors
22400145,2024-11-02,Cleveland Cavaliers,Cleveland Cavaliers
22400150,2024-11-02,Oklahoma City Thunder,Oklahoma City Thunder
22400141,2024-11-02,Boston Celtics,Boston Celtics
22400143,2024-11-02,Sacramento Kings,Sacramento Kings
22400149,2024-11-02,Portland Trail Blazers,Portland Trail Blazers
22400137,2024-11-01,Los Angeles Lakers,Los Angeles Lakers
22400134,2024-11-01,New York Knicks,New York Knicks
22400140,2024-11-01,Oklahoma City Thunder,Oklahoma City Thunder
22400139,2024-11-01,Denver Nuggets,Denver Nuggets
22400132,2024-11-01,Boston Celtics,Boston Celtics
22400136,2024-11-01,Chicago Bulls,Chicago Bulls
22400133,2024-11-01,Orlando Magic,Orlando Magic
22400135,2024-11-01,Sacramento Kings,Sacramento Kings
22400138,2024-11-01,Indiana Pacers,Indiana Pacers
22400130,2024-10-31,San Antonio Spurs,San Antonio Spurs
22400128,2024-10-31,Milwaukee Bucks,Milwaukee Bucks
22400129,2024-10-31,Houston Rockets,Houston Rockets
22400131,2024-10-31,Phoenix Suns,Phoenix Suns
22400123,2024-10-30,Orlando Magic,Orlando Magic
22400119,2024-10-30,Boston Celtics,Boston Celtics
22400120,2024-10-30,Detroit Pistons,Detroit Pistons
22400121,2024-10-30,Atlanta Hawks,Atlanta Hawks
22400127,2024-10-30,Portland Trail Blazers,Portland Trail Blazers
22400117,2024-10-30,Toronto Raptors,Toronto Raptors
22400125,2024-10-30,San Antonio Spurs,San Antonio Spurs
22400124,2024-10-30,Brooklyn Nets,Brooklyn Nets
22400122,2024-10-30,New York Knicks,New York Knicks
22400126,2024-10-30,New Orleans Pelicans,New Orleans Pelicans
22400118,2024-10-30,Los Angeles Lakers,Los Angeles Lakers
22400115,2024-10-29,Sacramento Kings,Sacramento Kings
22400114,2024-10-29,Dallas Mavericks,Dallas Mavericks
22400113,2024-10-29,Denver Nuggets,Denver Nuggets
22400116,2024-10-29,New Orleans Pelicans,New Orleans Pelicans
22400110,2024-10-28,Utah Jazz,Utah Jazz
22400106,2024-10-28,Cleveland Cavaliers,Cleveland Cavaliers
22400107,2024-10-28,Denver Nuggets,Denver Nuggets
22400105,2024-10-28,Detroit Pistons,Detroit Pistons
22400102,2024-10-28,Indiana Pacers,Indiana Pacers
22400109,2024-10-28,Houston Rockets,Houston Rockets
22400112,2024-10-28,Portland Trail Blazers,Portland Trail Blazers
22400103,2024-10-28,Washington Wizards,Washington Wizards
22400111,2024-10-28,Los Angeles Lakers,Los Angeles Lakers
22400104,2024-10-28,Milwaukee Bucks,Milwaukee Bucks
22400108,2024-10-28,Chicago Bulls,Chicago Bulls
22400098,2024-10-27,Milwaukee Bucks,Milwaukee Bucks
22400097,2024-10-27,Philadelphia 76ers,Philadelphia 76ers
22400101,2024-10-27,Los Angeles Clippers,Los Angeles Clippers
22400100,2024-10-27,Atlanta Hawks,Atlanta Hawks
22400099,2024-10-27,New Orleans Pelicans,New Orleans Pelicans
22400094,2024-10-26,Houston Rockets,Houston Rockets
22400091,2024-10-26,Oklahoma City Thunder,Oklahoma City Thunder
22400089,2024-10-26,Boston Celtics,Boston Celtics
22400093,2024-10-26,Toronto Raptors,Toronto Raptors
22400090,2024-10-26,Cleveland Cavaliers,Cleveland Cavaliers
22400096,2024-10-26,Sacramento Kings,Sacramento Kings
22400095,2024-10-26,Dallas Mavericks,Dallas Mavericks
22400087,2024-10-26,Los Angeles Clippers,Los Angeles Clippers
22400088,2024-10-26,Miami Heat,Miami Heat
22400092,2024-10-26,Orlando Magic,Orlando Magic
22400080,2024-10-25,Detroit Pistons,Detroit Pistons
22400085,2024-10-25,Phoenix Suns,Phoenix Suns
22400078,2024-10-25,Philadelphia 76ers,Philadelphia 76ers
22400081,2024-10-25,Indiana Pacers,Indiana Pacers
22400077,2024-10-25,Brooklyn Nets,Brooklyn Nets
22400086,2024-10-25,New Orleans Pelicans,New Orleans Pelicans
22400083,2024-10-25,Chicago Bulls,Chicago Bulls
22400082,2024-10-25,Memphis Grizzlies,Memphis Grizzlies
22400079,2024-10-25,Charlotte Hornets,Charlotte Hornets
22400084,2024-10-25,Golden State Warriors,Golden State Warriors
22400074,2024-10-24,San Antonio Spurs,San Antonio Spurs
22400075,2024-10-24,Oklahoma City Thunder,Oklahoma City Thunder
22400073,2024-10-24,Boston Celtics,Boston Celtics
22400076,2024-10-24,Minnesota Timberwolves,Minnesota Timberwolves
22400068,2024-10-23,Charlotte Hornets,Charlotte Hornets
22400063,2024-10-23,Indiana Pacers,Indiana Pacers
22400067,2024-10-23,Cleveland Cavaliers,Cleveland Cavaliers
22400072,2024-10-23,Golden State Warriors,Golden State Warriors
22400070,2024-10-23,Memphis Grizzlies,Memphis Grizzlies
22400064,2024-10-23,Brooklyn Nets,Brooklyn Nets
22400069,2024-10-23,Chicago Bulls,Chicago Bulls
22400071,2024-10-23,Phoenix Suns,Phoenix Suns
22400065,2024-10-23,Orlando Magic,Orlando Magic
22400066,2024-10-23,Milwaukee Bucks,Milwaukee Bucks
22400062,2024-10-22,Minnesota Timberwolves,Minnesota Timberwolves
22400061,2024-10-22,New York Knicks,New York Knicks
